timestamp,equipment_id,equipment_name,log_type,severity,temperature,vibration,pressure,rpm,message,operator,shift
2026-01-02 08:15:00,EQ-001,CNC Machine Alpha,operational,info,72.5,0.8,45.2,1500,Normal operation started. All parameters within range.,John Smith,morning
2026-01-02 09:30:00,EQ-002,Hydraulic Press Beta,operational,info,68.3,1.2,120.5,800,Press cycle completed successfully. Output quality nominal.,Maria Garcia,morning
2026-01-02 10:45:00,EQ-003,Conveyor Belt C1,maintenance,warning,45.0,2.5,0.0,300,Belt tension slightly above normal. Adjustment recommended within 48hrs.,Ahmed Hassan,morning
2026-01-02 11:00:00,EQ-001,CNC Machine Alpha,operational,warning,78.2,1.5,46.8,1520,Temperature rising slightly above baseline. Monitoring closely.,John Smith,morning
2026-01-02 14:00:00,EQ-004,Industrial Robot Arm R1,operational,info,55.0,0.3,30.0,2000,Pick and place cycle running normally. Accuracy within 0.01mm tolerance.,Lisa Chen,afternoon
2026-01-02 14:30:00,EQ-005,Compressor Unit D2,maintenance,warning,85.0,3.2,180.0,3500,Unusual vibration detected during high-load operation. Bearings inspection recommended.,Tom Wilson,afternoon
2026-01-02 16:00:00,EQ-001,CNC Machine Alpha,operational,warning,82.1,1.8,47.5,1535,Temp continues to rise. Spindle bearing may need inspection. Coolant flow checked - nominal.,Sarah Johnson,afternoon
2026-01-03 07:00:00,EQ-006,Welding Station W3,operational,info,40.0,0.5,0.0,0,Station powered on. Pre-shift calibration completed successfully.,Mike Brown,morning
2026-01-03 08:00:00,EQ-001,CNC Machine Alpha,operational,critical,88.5,2.8,48.2,1480,HIGH TEMP ALERT - Temperature exceeded threshold. Auto-slowdown initiated. Immediate maintenance required.,John Smith,morning
2026-01-03 08:15:00,EQ-001,CNC Machine Alpha,maintenance,critical,90.2,3.1,48.5,0,EMERGENCY SHUTDOWN - Spindle bearing failure detected. Machine taken offline for repair.,John Smith,morning
2026-01-03 09:00:00,EQ-002,Hydraulic Press Beta,operational,info,69.1,1.3,121.0,800,Normal press operation. Cycle time within expected range.,Maria Garcia,morning
2026-01-03 10:00:00,EQ-003,Conveyor Belt C1,maintenance,warning,46.5,3.0,0.0,295,Belt tension still elevated. Roller alignment check needed. Production slightly slower.,Ahmed Hassan,morning
